Region;Year;Avg English Results

Івано-Франківська область;2019;147.40813464235623

Івано-Франківська область;2020;150.42382120468793

Волинська область;2019;149.91524643021648

Волинська область;2020;148.6555423122765

Вінницька область;2019;143.99408783783784

Вінницька область;2020;146.19653041825094

Дніпропетровська область;2019;143.0451889829498

Дніпропетровська область;2020;144.78494623655914

Донецька область;2019;140.51243536074858

Донецька область;2020;141.22767111853088

Житомирська область;2019;144.05725603168887

Житомирська область;2020;144.31059718969556

Закарпатська область;2019;144.89511754068715

Закарпатська область;2020;146.13143280266567

Запорізька область;2019;142.54305955280054

Запорізька область;2020;144.47867676365087

Київська область;2019;142.93841707425523

Київська область;2020;146.00394849785408

Кіровоградська область;2019;144.88275862068966

Кіровоградська область;2020;145.55503731343285

Луганська область;2019;138.97377746279236

Луганська область;2020;139.98442906574394

Львівська область;2019;150.3150138504155

Львівська область;2020;151.9269205576869

Миколаївська область;2019;141.56775231202252

Миколаївська область;2020;142.131507775524

Одеська область;2019;143.83258093641172

Одеська область;2020;145.1703435076055

Полтавська область;2019;146.24187256176853

Полтавська область;2020;146.6193006993007

Рівненська область;2019;145.17415975556526

Рівненська область;2020;147.77677329624478

Сумська область;2019;143.4138090824838

Сумська область;2020;145.67128874388254

Тернопільська область;2019;146.61483467381592

Тернопільська область;2020;149.8918149466192

Харківська область;2019;146.91756366500394

Харківська область;2020;148.08241185061547

Херсонська область;2019;141.5943012211669

Херсонська область;2020;142.77997877608772

Хмельницька область;2019;145.5879917184265

Хмельницька область;2020;145.94419263456092

Черкаська область;2019;144.27146606674165

Черкаська область;2020;147.14829659318636

Чернівецька область;2019;150.01212611156024

Чернівецька область;2020;149.33949191685912

Чернігівська область;2019;144.23593618807723

Чернігівська область;2020;148.00534147272035

м.Київ;2019;155.5618947919393

м.Київ;2020;155.1231511079807

